date    cases
2020-02-25	1
2020-02-26	0
2020-02-27	1
2020-02-28	2
2020-02-29	1
2020-03-01	1
2020-03-02	0
2020-03-03	4
2020-03-04	5
2020-03-05	1
2020-03-06	5
2020-03-07	7
2020-03-08	9
2020-03-09	16
2020-03-10	54
2020-03-11	75
2020-03-12	57
2020-03-13	28
2020-03-14	26
2020-03-15	47
2020-03-16	45
2020-03-17	41
2020-03-18	86
2020-03-19	92
2020-03-20	81
2020-03-21	82
2020-03-22	77
2020-03-23	82
2020-03-24	98
2020-03-25	99
2020-03-26	105
2020-03-27	90
2020-03-28	71
2020-03-29	59
2020-03-30	114
2020-03-31	112
2020-04-01	122
2020-04-02	135
2020-04-03	180
2020-04-04	68
2020-04-05	100
2020-04-06	171
2020-04-07	193
2020-04-08	127
2020-04-09	146
2020-04-10	61
2020-04-11	67
2020-04-12	75
2020-04-13	83
2020-04-14	37













































































































































































































































































































































































































































































































































































































































































































































































































































































































































































